"Part";"Value";"Device";"Package";"Description";"";
"C1";"4.7u";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";
"C2";"4.7u";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";
"C3";"100n";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";
"C4";"10n";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";
"C5";"22n";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";
"C6";"1.8n";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C7";"27n";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C8";"10u";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";
"C9";"10u";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";
"C10";"1u";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";
"C11";"100n";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";
"C12";"100n";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";
"D1";"ON_FSV8100V";"ON_FSV8100V";"TO-277-3";"";"";
"D2";"+5V";"LED5MM";"LED_5MM";"LED (Generic)";"";
"D3";"+12V";"LED5MM";"LED_5MM";"LED (Generic)";"";
"D4";"+20V";"LED5MM";"LED_5MM";"LED (Generic)";"";
"D5";"ENABLE";"LED5MM";"LED_5MM";"LED (Generic)";"";
"D6";"ON_FSV8100V";"ON_FSV8100V";"TO-277-3";"";"";
"L1";"4.7U";"MURATA_FDVE1040";"4440";"";"";
"M1";"6-32_MOUNT";"6-32_MOUNT";"6-32_MOUNT";"";"";
"M2";"6-32_MOUNT";"6-32_MOUNT";"6-32_MOUNT";"";"";
"M3";"6-32_MOUNT";"6-32_MOUNT";"6-32_MOUNT";"";"";
"M4";"6-32_MOUNT";"6-32_MOUNT";"6-32_MOUNT";"";"";
"Q1";"ON_FDD4141";"ON_FDD4141";"TO-252-3";"";"";
"R1";"47k";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";
"R2";"1.37k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R3";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R4";"154k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R5";"1k";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";
"R6";"1k";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";
"R7";"1k";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";
"R8";"1k";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";
"R9";"470";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";
"R10";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R11";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"U1";"TI_TPS55330";"TI_TPS55330";"S-PWQFN-N16";"";"";
"U2";"4067D";"4067D";"SO24W";"16-channel ANALOG MULTIPLEXER";"";
"U3";"";"ULN2803SOICW";"SO18L";"Darlington Driver";"";
"U4";"";"ULN2803SOICW";"SO18L";"Darlington Driver";"";
"U5";"AVAGO_ACPL-217";"AVAGO_ACPL-217";"SOIC-4";"";"";
"X1";"";"MPT2";"2POL254";"PHOENIX CONNECTOR";"";
"X2";"";"PINHD-1X2/90";"1X02/90";"PIN HEADER";"";
"X3";"";"PINHD-2X4/90";"2X04/90";"PIN HEADER";"";
"X4";"";"PINHD-1X3/90";"1X03/90";"PIN HEADER";"";
"X5";"";"PINHD-2X8";"2X08";"PIN HEADER";"";
